"filename", "language", "C++", "CMake Cache", "CMake", "JSON", "Markdown", "Log", "Makefile", "C", "TypeScript", "comment", "blank", "total"
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/light.h", "C++", 59, 0, 0, 0, 0, 0, 0, 0, 0, 8, 13, 80
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/lightdistrib.cpp", "C++", 178, 0, 0, 0, 0, 0, 0, 0, 0, 67, 23, 268
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/lightdistrib.h", "C++", 50, 0, 0, 0, 0, 0, 0, 0, 0, 32, 16, 98
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/lights/diffuse.cpp", "C++", 96, 0, 0, 0, 0, 0, 0, 0, 0, 9, 12, 117
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/lights/diffuse.h", "C++", 35, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 50
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/lights/distant.cpp", "C++", 57, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 72
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/lights/distant.h", "C++", 33, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 45
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/lights/point.cpp", "C++", 46, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 57
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/lights/point.h", "C++", 32, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 44
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/lights/spot.cpp", "C++", 79, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 94
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/lights/spot.h", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 42
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/lowdiscrepancy.cpp", "C++", 4504, 0, 0, 0, 0, 0, 0, 0, 0, 47, 15, 4566
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/lowdiscrepancy.h", "C++", 218, 0, 0, 0, 0, 0, 0, 0, 0, 10, 26, 254
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/main.cc", "C++", 33, 0, 0, 0, 0, 0, 0, 0, 0, 12, 13, 58
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/material.cpp", "C++", 35, 0, 0, 0, 0, 0, 0, 0, 0, 10, 8, 53
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/material.h", "C++", 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 28
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/materials/disney.cpp", "C++", 374, 0, 0, 0, 0, 0, 0, 0, 0, 124, 79, 577
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/materials/disney.h", "C++", 55, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 67
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/materials/glass.cpp", "C++", 69, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 79
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/materials/glass.h", "C++", 34, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 45
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/materials/matte.cpp", "C++", 31, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 41
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/materials/matte.h", "C++", 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 33
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/materials/subsurface.cpp", "C++", 89, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 105
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/materials/subsurface.h", "C++", 47, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 59
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/media/homogeneous.cpp", "C++", 34, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 46
