Date : 2022-12-26 10:47:16
Directory : /Users/Security/TA/C++Tutorial/RayTracing/TWRay
Total : 165 files,  62266 codes, 5048 comments, 4421 blanks, all 71735 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/integrator.h                                                       | C++         |         57 |          7 |         10 |         74 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/interaction.cpp                                                    | C++         |         98 |         11 |         13 |        122 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/interaction.h                                                      | C++         |        101 |         12 |         12 |        125 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/interpolation.cpp                                                  | C++         |        269 |         63 |         59 |        391 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/interpolation.h                                                    | C++         |         22 |          3 |          7 |         32 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/light.cpp                                                          | C++         |         56 |          1 |          2 |         59 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/light.h                                                            | C++         |         59 |          8 |         13 |         80 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/lightdistrib.cpp                                                   | C++         |        178 |         67 |         23 |        268 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/lightdistrib.h                                                     | C++         |         50 |         32 |         16 |         98 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/lowdiscrepancy.cpp                                                 | C++         |      4,504 |         47 |         15 |      4,566 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/lowdiscrepancy.h                                                   | C++         |        218 |         10 |         26 |        254 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/main.cc                                                            | C++         |         33 |         12 |         13 |         58 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/material.cpp                                                       | C++         |         35 |         10 |          8 |         53 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/material.h                                                         | C++         |         18 |          4 |          6 |         28 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/medium.cpp                                                         | C++         |        164 |         13 |         11 |        188 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/medium.h                                                           | C++         |         55 |         10 |         13 |         78 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/memory.cpp                                                         | C++         |         20 |          1 |          4 |         25 |
